게임 이름	게임 Id	소스			
Goat of Duty	555000	Steam	1시간 46분	--	38시간 21분
God of War	f9b3e05b-8b28-4a73-b236-f11fe18788fe	DRM-free	데이터 없음		
God of War Ragnarök	8bb3d1c5-0dd8-4e5b-9b52-252a9828764a	DRM-free	데이터 없음		
GODDESS OF VICTORY: NIKKE	069d6dfb-8ca8-4ee7-8a2b-2555d51adbb0	폰겜	데이터 없음		
God's Trigger	9bc4423d873845739cc99ab69b6bfbe9	Epic	5시간 10분	7시간 11분	9시간 55분
Gone Home: Console Edition	Flier	Epic	1시간 59분	2시간 32분	3시간 6분
Grand Theft Auto V	9d2d0eb64d5c44529cece33fe2a46482	Epic	32시간 3분	51시간 27분	88시간 47분
Grand Theft Auto V Enhanced	8769e24080ea413b8ebca3f1b8c50951	Epic	32시간 3분	51시간 27분	88시간 47분
Hacknet	365450	Steam	7시간 11분	8시간 53분	11시간 19분
Half Minute Hero: Super Mega Neo Climax Ultimate Boy	214830	Steam	4시간 49분	13시간 42분	24시간 55분
Half-Life	70	Steam	11시간 57분	14시간 5분	15시간 22분
Half-Life 2	220	Steam	12시간 53분	15시간 37분	19시간 53분
Half-Life 2: Deathmatch	320	Steam	2시간 25분	9시간 45분	21시간 33분
Half-Life Deathmatch: Source	360	Steam	2시간 30분	2시간 40분	3시간 20분
Half-Life: Source	280	Steam	11시간 8분	13시간 7분	14시간 6분
Hand of Fate 2	808f0dfbf3b84c2680793724d7f207bf	Epic	22시간 12분	43시간 7분	106시간 45분
Headsnatchers	797410	Steam	50 분	3시간 16분	10시간 40분
Heavy Rain	960910	Steam	9시간 58분	12시간 2분	22시간 10분
Hellion	588210	Steam	90시간 0분	150시간 0분	212시간 0분
Her Story	368370	Steam	2시간 24분	3시간 20분	4시간 9분
Hitman	Barbet	Epic	10시간 42분	23시간 46분	92시간 41분
Hitman: Absolution	203140	Steam	12시간 19분	19시간 46분	37시간 0분
Hitman: Blood Money	6860	Steam	11시간 50분	16시간 7분	20시간 26분
Hob	Lyrebird	Epic	10시간 20분	11시간 24분	16시간 56분
Hogwarts Legacy	fa4240e57a3c46b39f169041b7811293	Epic	26시간 42분	45시간 15분	72시간 2분
Hyper Light Drifter	Parakeet	Epic	7시간 45분	11시간 47분	27시간 17분
Icewind Dale II Complete	1207658891	GOG	데이터 없음		
Icewind Dale: Enhanced Edition	321800	Steam	30시간 32분	40시간 56분	61시간 54분
Idle Champions of the Forgotten Realms	627690	Steam	39시간 29분	87시간 20분	5811시간 40분
Indiana Jones and the Fate of Atlantis	d1e977d3-b147-42e8-8470-8a682e0d3f31	두기런처	8시간 10분	10시간 0분	10시간 9분
Indie Game: The Movie	207080	Steam	데이터 없음		
Injustice: Gods Among Us - Ultimate Edition	242700	Steam	5시간 1분	11시간 33분	25시간 6분
Insurgency	222880	Steam	12시간 47분	34시간 4분	59시간 15분
Into the Breach	590380	Steam	5시간 44분	20시간 0분	52시간 53분
Invisible, Inc.	243970	Steam	7시간 14분	18시간 34분	86시간 32분
Jagged Alliance 2	1207658696	GOG	10시간 0분	20시간 0분	57시간 18분
Jagged Alliance 2: Gold Pack	12370	Steam	36시간 42분	52시간 33분	68시간 4분
Jagged Alliance 2: Gold Pack	12380	Steam	36시간 42분	52시간 33분	68시간 4분
Jagged Alliance: Gold Edition	283270	Steam	10시간 34분	25시간 54분	29시간 50분
Judgment	2058180	Steam	27시간 39분	46시간 12분	99시간 24분
Jurassic World Evolution 2	70883ed009994efe86d00a5fb8f2b52e	Epic	6시간 0분	36시간 27분	104시간 33분
Just Cause 4	Kakopo	Epic	16시간 7분	28시간 0분	54시간 45분
Kakyuusei	170022e6-312d-43fc-85d1-246e03e48cce	에뮬	--	65시간 0분	--
Kards: The WWII Card Game	544810	Steam	데이터 없음		
Kathy Rain	370910	Steam	6시간 1분	6시간 35분	6시간 58분
Kingdom Come: Deliverance	Eel	Epic	42시간 39분	80시간 49분	136시간 38분
Kingdom Come: Deliverance II	1771300	Steam	55시간 5분	98시간 31분	143시간 12분
L.A. Noire	110800	Steam	22시간 11분	28시간 59분	42시간 14분
Lara Croft and the Temple of Osiris	289690	Steam	5시간 14분	7시간 3분	13시간 30분
Layers of Fear	391720	Steam	데이터 없음		
Left 4 Dead 2	550	Steam	10시간 12분	27시간 51분	61시간 21분
LEGO Batman 2: DC Super Heroes	Grackle	Epic	8시간 56분	15시간 26분	24시간 8분
LEGO Batman 3: Beyond Gotham	Gull	Epic	10시간 9분	19시간 12분	36시간 0분
LEGO Batman: The Videogame	Goldeneye	Epic	9시간 56분	16시간 16분	29시간 18분
LEGO Star Wars: The Skywalker Saga	c390e58246ea4a778acd26473a489b48	Epic	18시간 35분	34시간 40분	90시간 2분
LEGO The Hobbit	285160	Steam	8시간 51분	16시간 27분	36시간 51분
LEGO The Lord of the Rings	214510	Steam	10시간 3분	16시간 55분	33시간 38분
Lethal League	261180	Steam	7시간 25분	10시간 50분	20시간 14분
Life Is Strange	319630	Steam	14시간 8분	16시간 26분	18시간 31분
Limbo	48000	Steam	3시간 34분	4시간 10분	6시간 44분
Lisa: The Painful	335670	Steam	13시간 2분	15시간 5분	19시간 8분
Lossless Scaling	993090	Steam	데이터 없음		
Mad Games Tycoon	341000	Steam	22시간 58분	31시간 30분	41시간 58분
Mahjong Soul	2739990	Steam	--	69시간 0분	--
Mangui	3220010	Steam	--	--	--
Manual Samuel	504130	Steam	데이터 없음		
Marvel Rivals	2767030	Steam	18시간 14분	58시간 39분	130시간 26분
Marvel Snap	1997040	Steam	66시간 3분	100시간 34분	--
Marvel's Midnight Suns	49550aa9fcd74552ae07c4e9f2c262fe	Epic	40시간 25분	65시간 41분	96시간 43분
Marvel's Spider-Man 2	c67065a1-ff29-46e7-8cf6-a3a0e65b6273	DRM-free	데이터 없음		
Mass Effect Legendary Edition	1328670	Steam	데이터 없음		
Max Gentlemen	257710	Steam	15 분	16 분	46 분
Mecha BREAK Playtest	3016800	Steam	데이터 없음		
Metal Gear Solid V: Ground Zeroes	311340	Steam	1시간 52분	6시간 40분	20시간 55분
Metal Gear Solid V: The Phantom Pain	287700	Steam	45시간 41분	81시간 9분	163시간 18분
Metro 2033	43110	Steam	9시간 31분	12시간 3분	20시간 27분
Metro Redux	286690	Steam	9시간 3분	11시간 32분	23시간 41분
Metro: Last Light Redux	287390	Steam	9시간 46분	13시간 31분	27시간 42분
Middle-earth: Shadow of Mordor	241930	Steam	15시간 44분	23시간 56분	32시간 53분
Monkey Island 2 Special Edition: LeChuck's Revenge	32460	Steam	7시간 3분	7시간 55분	7시간 59분
Monster Hunter: World	582010	Steam	46시간 29분	115시간 20분	429시간 31분
Moonring	2373630	Steam	18시간 52분	26시간 50분	--
Mortal Kombat X	307780	Steam	5시간 41분	16시간 50분	69시간 13분
